race_date,race_city,race_no,race_type,race_sex_group,race_age_group,race_race_group,race_length,race_track_type,race_track_condition,best_rating,best_rating_seconds
2024-01-01,bursa,1,condition 2,undefined,3 years old,english,1400,dirt,good going,1.24.50,84.5
2024-01-01,bursa,2,maiden,undefined,4 years old,arabian,1400,dirt,good going,1.33.63,93.63
2024-01-01,bursa,3,condition 3,female,3 years old,english,1200,dirt,good going,1.11.37,71.37
2024-01-01,bursa,4,condition 4,undefined,4 years old and up,arabian,2000,dirt,good going,2.18.40,138.4
2024-01-01,bursa,5,handicap 15,undefined,4 years old and up,english,1300,dirt,good going,1.18.11,78.11
2024-01-01,bursa,6,condition 3,undefined,4 years old and up,english,1400,dirt,good going,1.24.50,84.5
2024-01-01,bursa,7,maiden,undefined,4 years old,arabian,1400,dirt,good going,1.33.63,93.63
2024-01-01,bursa,8,condition-6,female,4 years old and up,english,1300,dirt,good going,1.18.11,78.11
2024-01-01,bursa,9,handicap 14,female,4 years old and up,arabian,1800,dirt,good going,2.03.83,123.83
2024-01-02,adana,1,condition 5,female,4 years old,arabian,1400,dirt,good going,1.34.68,94.68
2024-01-02,adana,2,handicap 21,undefined,4 years old and up,english,1900,dirt,good going,2.00.00,120.0
2024-01-02,adana,3,condition 4,female,4 years old and up,english,1300,dirt,good going,1.18.98,78.98
2024-01-02,adana,4,condition-6,female,3 years old,english,1300,dirt,good going,1.18.98,78.98
2024-01-02,adana,5,maiden,undefined,3 years old,english,1400,dirt,good going,1.24.53,84.53
2024-01-02,adana,6,handicap 21,undefined,4 years old and up,arabian,1400,dirt,good going,1.34.68,94.68
2024-01-02,antalya,1,condition 5,undefined,4 years old,arabian,1300,dirt,good going,1.27.60,87.6
2024-01-02,antalya,2,handicap 13,undefined,3 years old,english,1400,dirt (polytrack),good going,1.23.31,83.31
2024-01-02,antalya,3,handicap 17,undefined,4 years old and up,english,1700,dirt (polytrack),good going,1.41.46,101.46
2024-01-02,antalya,4,maiden,female,4 years old,arabian,1400,dirt,good going,1.35.03,95.03
2024-01-02,antalya,5,condition 4,undefined,4 years old and up,arabian,1400,dirt,good going,1.35.03,95.03
2024-01-02,antalya,6,condition 3,undefined,3 years old,english,1400,dirt,good going,1.24.74,84.74
2024-01-02,antalya,7,maiden,female,4 years old,arabian,1400,dirt,good going,1.35.03,95.03
2024-01-02,antalya,8,condition 2,undefined,4 years old and up,english,1500,dirt (polytrack),good going,1.29.01,89.01
2024-01-03,i̇stanbul,1,condition 3,undefined,3 years old,english,1500,dirt (polytrack),good going,1.28.19,88.19
2024-01-03,i̇stanbul,2,handicap 14,undefined,4 years old,arabian,1500,dirt (polytrack),good going,1.37.40,97.4
2024-01-03,i̇stanbul,3,handicap 16,female,4 years old and up,english,1200,dirt (polytrack),good going,1.09.93,69.93
2024-01-03,i̇stanbul,4,maiden,undefined,4 years old,arabian,1400,dirt (polytrack),good going,1.31.22,91.22
2024-01-03,i̇stanbul,5,handicap 15,female,3 years old,english,1200,dirt (polytrack),good going,1.09.93,69.93
2024-01-03,i̇stanbul,6,handicap 16,undefined,4 years old and up,arabian,1500,dirt (polytrack),good going,1.37.40,97.4
2024-01-03,i̇stanbul,7,maiden,undefined,4 years old,arabian,1400,dirt (polytrack),good going,1.31.22,91.22
2024-01-04,i̇zmir,1,sale 1,undefined,3 years old,english,1200,dirt,good going,1.11.59,71.59
2024-01-04,i̇zmir,2,handicap 13,undefined,4 years old,arabian,1600,dirt,good going,1.48.55,108.55
2024-01-04,i̇zmir,3,maiden,female,3 years old,english,1400,dirt,good going,1.25.06,85.06
2024-01-04,i̇zmir,4,condition 4,undefined,4 years old and up,english,1900,dirt,good going,1.58.31,118.31
2024-01-04,i̇zmir,5,condition 3,undefined,4 years old and up,arabian,1400,dirt,good going,1.32.97,92.97
2024-01-04,i̇zmir,6,condition 3,female,4 years old,arabian,1200,dirt,good going,1.19.36,79.36
2024-01-04,i̇zmir,7,maiden,female,3 years old,english,1400,dirt,good going,1.25.06,85.06
2024-01-04,kocaeli,1,condition 2,undefined,3 years old,english,1200,dirt,good going,1.11.66,71.66
2024-01-04,kocaeli,2,condition 3,undefined,4 years old and up,english,1400,dirt,good going,1.23.67,83.67
2024-01-04,kocaeli,3,condition 5,undefined,4 years old and up,english,1800,dirt,good going,1.53.68,113.68
2024-01-04,kocaeli,4,handicap 16,undefined,4 years old and up,arabian,2000,dirt,good going,2.19.59,139.59
2024-01-04,kocaeli,5,maiden,undefined,3 years old,english,1400,dirt,good going,1.23.67,83.67
2024-01-04,kocaeli,6,handicap 15,female,4 years old and up,english,1800,dirt,good going,1.53.68,113.68
2024-01-04,kocaeli,7,condition 4,undefined,4 years old and up,arabian,1500,dirt,good going,1.41.10,101.1
2024-01-04,kocaeli,8,maiden,undefined,3 years old,english,1400,dirt,good going,1.23.67,83.67
