race_date,race_city,race_no,result,horse_name,horse_accessories,horse_age,horse_sex,horse_origin,horse_sire,horse_dam,hors_broodmare_sire,jockey_weight,jockey_name,horse_owner,horse_trainer,horse_win_value,Horse_starting_box_no,horse_rate,horse_race_degree_seconds
2024-01-01,Bursa,1,1,MY REVERIE,KG K DB,3,f,BLUEGRASS CAT (USA)- LEGALLY INCLUDED (USA) / INCLUDE (USA),bluegrass cat (usa),legally included (usa),INCLUDE (USA),56,tugay alici,NİMET ARİF KURTEL,tamer turan,1.5,1,42,91.26
2024-01-01,Bursa,1,2,NOBLE WOMAN,KG DB SK,3,f,SCARFACE- PROVIDENCE / SRI PEKAN (USA),scarface,providence,SRI PEKAN (USA),58,onur yildiz,AHMET KURT,tuncay pelen,3.75,4,43,93.05
2024-01-01,Bursa,1,3,ÇİSEM SULTAN,KG K DB SGKR,3,f,SMART ROBIN (JPN)- SNOOZY TIMES / ROYAL ABJAR (USA),smart robin (jpn),snoozy times,ROYAL ABJAR (USA),56,seli̇m i̇pek,BÜLENT BAYBURAN,kazim şengel,28.7,3,33,93.17
2024-01-01,Bursa,1,4,OKYANUS GÜZELİ,SKG SK,3,f,SIDNEY'S CANDY (USA)- NURSENA / SCARFACE,sidney's candy (usa),nursena,SCARFACE,56,oğuz eren,DİLEK ÖKTEN,ali̇ riza aydin,14.85,6,39,93.65
2024-01-01,Bursa,1,5,MOUNTAIN LION,DB SK,3,m,LION HEART (USA)- SAN MARINO / SRI PEKAN (USA),lion heart (usa),san marino,SRI PEKAN (USA),57,berkant gökçe,SEMİH KATI,murat türkoğlu,4.55,5,51,94.3
2024-01-01,Bursa,1,6,KING UĞUR,KG DB SK,3,m,PIANO SONATA- DOLPHINE / DOMINO EFFECT,piano sonata,dolphine,DOMINO EFFECT,58,yunus emre yüksel,ALİ OSMAN ARSLAN,sedat koçak,9.9,2,42,97.55
2024-01-01,Bursa,2,1,ÇELİK EFE,K DB,4,m,JOKER- GÜLŞİRİN / SAĞANAK,joker,gülşi̇ri̇n,SAĞANAK,58,mahmut turan,İBRAHİM ÇELİK,kadi̇r turan,6.35,5,27,102.45
2024-01-01,Bursa,2,2,EYLÜLLİZE,KG K DB,4,f,YAKUPBEY- AŞKANA / ODİNHAN,yakupbey,aşkana,ODİNHAN,53,sezer çeli̇k,İBRAHİM YÖNTEM,ferdi̇ kiran,17.5,7,28,103.0
2024-01-01,Bursa,2,3,PARİS ÖZLEMİ,none,4,f,SİLAH- PARİS / DEMİRKAZIK,si̇lah,pari̇s,DEMİRKAZIK,56,çeti̇n ok,MUHAMMET YAĞMURLU,eylem gün güneş,21.95,8,0,103.56
2024-01-01,Bursa,2,4,HAS TARKAN,KG K,4,m,BİLGİN- TACİSERİM / AYABAKAN,bi̇lgi̇n,taci̇seri̇m,AYABAKAN,56,yunus emre yüksel,HAKKI TARIK DİKENCİK,melek özgül,1.75,4,33,103.79
2024-01-01,Bursa,2,5,COŞDUR,KG DB SK,4,m,COŞARTAY- DURAK / DEMİRKAZIK,coşartay,durak,DEMİRKAZIK,58,mehmet akyavuz,ÖMER ALTIN,mi̇kai̇l altin,6.35,9,31,103.8
2024-01-01,Bursa,2,6,ALAGÖZLÜM,KG K,4,f,KAYAYÜREKLİ- ÇITIRKIZ / BİLGİN,kayayürekli̇,çitirkiz,BİLGİN,56,tugay alici,ABDULLAH ALAGÖZ,i̇smai̇l alpuğur,14.85,3,27,104.66
2024-01-01,Bursa,2,7,İSKİLİP ŞAHI,KG,4,m,BİLGİN- MAHMURKIZ / SERGEN,bi̇lgi̇n,mahmurkiz,SERGEN,58,oğuz eren,KENAN ELALDI,kenan elaldi,37.95,2,0,108.28
2024-01-01,Bursa,2,8,TAARUZ,none,4,m,JOKER- GÜNEBAKIŞ / BERKAYBEY,joker,günebakiş,BERKAYBEY,55,cem altun,MUHAMMET YAĞMURLU,eylem gün güneş,21.95,6,11,110.09
2024-01-01,Bursa,2,9,PINAR AĞASI,KG DB,4,m,YÜREKKAYA- İZMİRGÜLÜ / DAĞHANBEY,yürekkaya,i̇zmi̇rgülü,DAĞHANBEY,58,hüseyi̇n turan,EKREM BİRDEN,toros kiyas,3.75,1,37,110.8
2024-01-01,Bursa,3,1,CANIM İLAYDA,KG K,3,f,LION HEART (USA)- ALYA / KANEKO,lion heart (usa),alya,KANEKO,55,ali̇ yildiz,MEHMET SARP,şahi̇n akduman,1.85,3,57,77.02
2024-01-01,Bursa,3,2,HIGH VOLUME,K DB,3,f,FLY BY ME- RIJA (IRE) / LION HEART (USA),fly by me,rija (ire),LION HEART (USA),55,tugay alici,KEMAL KURT,sergen gökçe,1.85,4,41,77.57
2024-01-01,Bursa,3,3,SPECTRE GIRL,KG DB SK,3,f,TOCCET (USA)- AKYAKALIKIZ / PRESSING (IRE),toccet (usa),akyakalikiz,PRESSING (IRE),51,çağlar taşci,CANER ARIK,serhat önder,5.9,5,40,77.66
2024-01-01,Bursa,3,4,SNOW QUEEN,K,3,f,JUNGLE MAN- CRESSIDA / MENDIP (USA),jungle man,cressida,MENDIP (USA),53,yunus emre yüksel,HÜSEYİN CAN,ci̇han yi̇ği̇t,16.05,1,22,78.76
2024-01-01,Bursa,3,5,İSKENDERUNLU SUAT,KG DB SK,3,f,BULDUM BAK- SUATIN KIZI / WEST BY WEST (USA),buldum bak,suatin kizi,WEST BY WEST (USA),53,sezer çeli̇k,DİLEK BURAN,sabri̇ arslan,23.05,2,0,80.36
2024-01-01,Bursa,4,1,DÜNDARZADE,KG K,5,m,KAIZBERT (RU)- SİBELİN KIZI / HABERBATUR,kaizbert (ru),si̇beli̇n kizi,HABERBATUR,57,tolga yildiz,MERT ÇELİK,serhat önder,2.65,1,92,142.75
2024-01-01,Bursa,4,2,HIZLI EMEL,KG DB SK,5,m,HIZLITAY- EMEL HALA / BEYEFENDİ,hizlitay,emel hala,BEYEFENDİ,57,hali̇l kaplan,CÜNEYT YILDIZHAN,veli̇ akbulut,4.25,5,85,143.23
2024-01-01,Bursa,4,3,SİNOPLU MERVE,KG,8,f,BİLGİN- SÜBEYHİKIZI / ÖZGÜNHAN,bi̇lgi̇n,sübeyhi̇kizi,ÖZGÜNHAN,55,onur yildiz,HAKKI TARIK DİKENCİK,melek özgül,3.0,2,95,143.26
2024-01-01,Bursa,4,4,EYMENAĞA,KG DB SK,7,m,KARAKEMAL- ZÜMRANUR / DEMİRKIR,karakemal,zümranur,DEMİRKIR,57,ali̇ yildiz,MEHMET SARP,şahi̇n akduman,14.55,4,84,143.87
2024-01-01,Bursa,4,5,ŞAHSEKİN,none,6,m,FAZIL AĞA- KORKUT ELİF / RİKARDO,fazil ağa,korkut eli̇f,RİKARDO,55,kaancan gökçe,CAHİT SEKİN,dilşa kaya,14.45,7,81,143.96
2024-01-01,Bursa,4,6,ERDOĞDU,KG SK,7,m,HIZLITAY- MAHARET / TIKI TORK KU (US),hizlitay,maharet,TIKI TORK KU (US),57,onur atmaca,DİLEK BURAN,sabri̇ arslan,6.6,6,86,148.25
2024-01-01,Bursa,4,7,FIRAT BABA,DB,7,m,TOŞUR- AYA BENZER / YALAZ,toşur,aya benzer,YALAZ,57,mehmet akyavuz,ALPAY DEMİREL,i̇lyas canpolat,12.5,8,84,149.03
2024-01-01,Bursa,4,8,HAVZALI,KG DB SK,7,f,ÖZHABER- NURHANIM / BAMKA.3,özhaber,nurhanim,BAMKA.3,55,sezer çeli̇k,RECEP KETME,dilşa kaya,32.15,3,65,156.92
2024-01-01,Bursa,5,1,ISLAND BREEZE,KG K DB,4,m,INVINCIBLE SON (IRE)- ISLAND QUEST (USA) / CAPE BLANCO (IRE),invincible son (ire),island quest (usa),CAPE BLANCO (IRE),57,seli̇m i̇pek,AHMET GEÇGEL,ekrem çi̇lek,2.8,1,45,82.03
